Text	Label
Tôi thất vọng	0
Nhân viên thân thiện	1
Giao sai hàng rất mất thời gian	0
Sản phẩm chất lượng dùng rất ưng ý	1
Giao sai hàng trải nghiệm tệ hại	0
Hỗ trợ nhiệt tình và tôi rất hài lòng	1
Chất lượng tệ	0
Nhân viên thân thiện giá hợp lý với chất lượng	1
Sản phẩm đúng mô tả giá hợp lý với chất lượng	1
Dịch vụ kém	0
Sẽ không mua lại không được hỗ trợ	0
Phục vụ kém	0
Giá cả hợp lý	1
Rất đáng tiền	1
Sản phẩm khác mô tả	0
Hỗ trợ nhiệt tình	1
Hài lòng với dịch vụ hỗ trợ sau bán hàng tốt	1
Giao hàng chậm	0
Rất đáng tiền thiết kế đẹp, dùng bền	1
Mua lại lần nữa giá hợp lý với chất lượng	1
Dịch vụ kém và tôi rất thất vọng	0
Sẽ không mua lại phải chờ quá lâu	0
Sản phẩm hư hỏng	0
Sẽ giới thiệu cho bạn bè một lựa chọn hoàn hảo	1
Nhân viên thân thiện dùng rất ưng ý	1
Sản phẩm hư hỏng không đáng đồng tiền	0
Rất đáng tiền	1
Sẽ giới thiệu cho bạn bè và tôi rất hài lòng	1
Không hài lòng	0
Không đáng tiền rất mất thời gian	0
Hỗ trợ nhiệt tình dùng rất ưng ý	1
Tôi thất vọng	0
Mua lại lần nữa	1
Nhân viên thiếu chuyên nghiệp rất mất thời gian	0
Dịch vụ rất tốt	1
Hủy đơn không hoàn tiền	0
Sự cố liên tục	0
Đóng gói tệ	0
Khó liên hệ hỗ trợ không hài lòng chút nào	0
Sự cố liên tục	0
Rất phiền gặp trục trặc ngay sau khi nhận	0
Đóng gói tệ phải chờ quá lâu	0
Giao hàng chậm không nên mua	0
Giao sai hàng	0
Sẽ giới thiệu cho bạn bè	1
Cảm ơn, rất OK	1
Giá cả hợp lý	1
Khó liên hệ hỗ trợ	0
Hài lòng với dịch vụ dùng rất ưng ý	1
Rất đáng tiền giá hợp lý với chất lượng	1
Mua lại lần nữa đóng gói đẹp và giao đúng hẹn	1
Rất hài lòng và tôi rất hài lòng	1
Giao hàng chậm không được hỗ trợ	0
Khó liên hệ hỗ trợ không đáng đồng tiền	0
Sản phẩm khác mô tả	0
Khó liên hệ hỗ trợ rất mất thời gian	0
Đóng gói cẩn thận và tôi rất hài lòng	1
Sản phẩm bị lỗi gặp trục trặc ngay sau khi nhận	0
Sản phẩm bị lỗi phải chờ quá lâu	0
Không hài lòng không được hỗ trợ	0
Sản phẩm chất lượng dùng rất ưng ý	1
Mua lại lần nữa	1
Sản phẩm khác mô tả không nên mua	0
Sản phẩm đúng mô tả	1
Dịch vụ rất tốt	1
